iter	RMSE
0	14.55758626
1	14.13549194
2	13.72290595
3	13.35130823
4	12.97799779
5	12.62186083
6	12.23995661
7	11.88187074
8	11.55559256
9	11.2581365
10	10.94430403
11	10.65174082
12	10.38868083
13	10.11608308
14	9.870407111
15	9.624166175
16	9.417559033
17	9.226455615
18	9.007402849
19	8.784818775
20	8.572190928
21	8.366671561
22	8.170909903
23	7.971899502
24	7.798957917
25	7.622775729
26	7.460439203
27	7.29759245
28	7.136012198
29	6.996579577
30	6.84962372
31	6.723584341
32	6.600664123
33	6.473593296
34	6.360252675
35	6.256140013
36	6.153504861
37	6.057016677
38	5.955350074
39	5.856115126
40	5.769865533
41	5.682196193
42	5.596720364
43	5.51056836
44	5.428304811
45	5.358085735
46	5.287636796
47	5.216267682
48	5.15883949
49	5.105237587
50	5.042271288
51	4.986148831
52	4.927416932
53	4.870422899
54	4.824764613
55	4.774363836
56	4.729353502
57	4.692022133
58	4.651486125
59	4.622690914
60	4.580758359
61	4.540138771
62	4.503981339
63	4.46894344
64	4.432806778
65	4.398830836
66	4.368302657
67	4.333524727
68	4.303965813
69	4.271201696
70	4.237680124
71	4.21027498
72	4.184305306
73	4.155718772
74	4.135220755
75	4.108543686
76	4.082329158
77	4.066700005
78	4.043302448
79	4.022834562
80	4.005829395
81	3.985392563
82	3.967224294
83	3.94984049
84	3.929308996
85	3.907488378
86	3.890799244
87	3.874869688
88	3.858990138
89	3.845963587
90	3.829578675
91	3.81659437
92	3.802536428
93	3.78716752
94	3.776067666
95	3.766218571
96	3.749943401
97	3.737893946
98	3.729775468
99	3.715674495
100	3.705181808
101	3.696754253
102	3.683976428
103	3.675175154
104	3.662140125
105	3.650840216
106	3.639818074
107	3.630144957
108	3.619249801
109	3.608799954
110	3.597283695
111	3.585316095
112	3.576724743
113	3.564929479
114	3.550979959
115	3.542021182
116	3.532137544
117	3.522516627
118	3.514925544
119	3.504094172
120	3.494028883
121	3.486697087
122	3.48123494
123	3.474266289
124	3.467505767
125	3.460603893
126	3.455362961
127	3.448892816
128	3.446185332
129	3.434346933
130	3.423857232
131	3.421996337
132	3.414649123
133	3.40863281
134	3.403951245
135	3.392748655
136	3.388970171
137	3.37392536
138	3.366240778
139	3.357812796
140	3.353957314
141	3.346548818
142	3.336259026
143	3.325927048
144	3.318058827
145	3.314196608
146	3.30970509
147	3.304185463
148	3.298449998
149	3.289230133
150	3.283501283
151	3.273604581
152	3.267439286
153	3.260258007
154	3.249919682
155	3.244279562
156	3.235021475
157	3.227935278
158	3.222548791
159	3.21494537
160	3.206664114
161	3.202108087
162	3.191105219
163	3.188326859
164	3.18162816
165	3.178183089
166	3.168523932
167	3.161957567
168	3.158349474
169	3.153319316
170	3.147799706
171	3.139480481
172	3.131116276
173	3.121754054
174	3.115814574
175	3.110181141
176	3.106353449
177	3.096566344
178	3.091914795
179	3.083126552
180	3.078397896
181	3.071845051
182	3.067707987
183	3.057593384
184	3.047324903
185	3.041302168
186	3.033821122
187	3.0290714
188	3.0247343
189	3.023819817
190	3.020650701
191	3.013735201
192	3.005179501
193	3.000171449
194	2.994173699
195	2.988012422
196	2.981412764
197	2.974644738
198	2.966531763
199	2.960316996
200	2.952678253
201	2.947146301
202	2.939997624
203	2.933573077
204	2.930044336
205	2.924715936
206	2.920570971
207	2.917508848
208	2.912859841
209	2.90978837
210	2.901302058
211	2.896020354
212	2.893452627
213	2.88743635
214	2.881850025
215	2.875359768
216	2.872711861
217	2.870542021
218	2.862051569
219	2.856901832
220	2.855672928
221	2.851196757
222	2.844661157
223	2.840111959
224	2.832446345
225	2.826903628
226	2.820909396
227	2.813938583
228	2.803122134
229	2.797913338
230	2.78886365
231	2.784735032
232	2.777156184
233	2.772240176
234	2.768274857
235	2.761350427
236	2.757834517
237	2.752950908
238	2.742938993
239	2.740042875
240	2.734508199
241	2.729146012
242	2.720940144
243	2.714997546
244	2.708831765
245	2.70154916
246	2.696141726
247	2.692592359
248	2.682160817
249	2.673024556
250	2.665733738
251	2.664219159
252	2.661927076
253	2.653258242
254	2.649026599
255	2.641493918
256	2.636568351
257	2.631590741
258	2.630127097
259	2.620650718
260	2.614818287
261	2.61286386
262	2.612067268
263	2.606576534
264	2.602811805
265	2.599592636
266	2.59878273
267	2.594367661
268	2.590784536
269	2.582610915
270	2.574869612
271	2.573287401
272	2.569931058
273	2.56632326
274	2.558295558
275	2.554023018
276	2.552567221
277	2.545030076
278	2.543655926
279	2.54148255
280	2.540727046
281	2.534548173
282	2.526440892
283	2.521103478
284	2.515864193
285	2.508364281
286	2.507310951
287	2.501900993
288	2.497057839
289	2.496033201
290	2.48980235
291	2.481804719
292	2.479641746
293	2.477948132
294	2.475758101
295	2.468791547
296	2.468072563
297	2.465956409
298	2.463907758
299	2.461229243
300	2.454980544
301	2.448584039
302	2.447230625
303	2.439925378
304	2.435620811
305	2.427778013
306	2.423781448
307	2.422664566
308	2.418850583
309	2.41249278
310	2.409906689
311	2.402797389
312	2.399289117
313	2.394645588
314	2.389694236
315	2.382917486
316	2.37504213
317	2.369652785
318	2.364119342
319	2.362839988
320	2.357546142
321	2.356794503
322	2.349246304
323	2.347592502
324	2.342127238
325	2.340608382
326	2.33717539
327	2.33101681
328	2.324811533
329	2.318214711
330	2.314519601
331	2.309202799
332	2.304495496
333	2.299539507
334	2.293929617
335	2.289078806
336	2.284270836
337	2.27842297
338	2.274006849
339	2.270134206
340	2.265194599
341	2.261964961
342	2.258371557
343	2.252934528
344	2.249572809
345	2.248883913
346	2.246427349
347	2.245525334
348	2.243627784
349	2.239821667
350	2.236513181
351	2.234362665
352	2.23144202
353	2.225620611
354	2.22053599
355	2.216744113
356	2.214207441
357	2.213453743
358	2.210936938
359	2.20763017
360	2.20491269
361	2.201068949
362	2.198221562
363	2.193146311
364	2.189012302
365	2.182352471
366	2.180036044
367	2.177472842
368	2.172227237
369	2.170952166
370	2.166512697
371	2.165331798
372	2.162218793
373	2.156991859
374	2.15470079
375	2.152366926
376	2.151219942
377	2.147977619
378	2.144504128
379	2.140108487
380	2.134372191
381	2.132779925
382	2.131753043
383	2.128776367
384	2.125030341
385	2.124034615
386	2.122732837
387	2.117462717
388	2.113053512
389	2.111942268
390	2.110365318
391	2.10733965
392	2.104316294
393	2.102511622
394	2.101043996
395	2.096785047
396	2.095328497
397	2.089000208
398	2.084777495
399	2.08372347
400	2.079737159
401	2.078513712
402	2.07353025
403	2.07163873
404	2.066256517
405	2.062490582
406	2.060700387
407	2.059515005
408	2.057994872
409	2.055567848
410	2.050774139
411	2.049458972
412	2.044719911
413	2.03931872
414	2.036654253
415	2.032800807
416	2.030723682
417	2.024458489
418	2.023571101
419	2.019344257
420	2.018421261
421	2.012906233
422	2.007124499
423	2.002878835
424	1.9989582
425	1.997985302
426	1.993903018
427	1.991079914
428	1.988418167
429	1.987416639
430	1.983651911
431	1.978797248
432	1.977651705
433	1.972726076
434	1.969162066
435	1.964209777
436	1.963154011
437	1.958376976
438	1.955167983
439	1.951136276
440	1.949000065
441	1.945745838
442	1.94151805
443	1.938811882
444	1.935821389
445	1.933246778
446	1.928856477
447	1.924008291
448	1.922075792
449	1.919337503
450	1.918395912
451	1.913893103
452	1.910331149
453	1.906058615
454	1.905565459
455	1.902584593
456	1.897785376
457	1.896036884
458	1.895101732
459	1.89355358
460	1.892250583
461	1.888136402
462	1.884794953
463	1.880951598
464	1.876541544
465	1.875055628
466	1.87273713
467	1.869739183
468	1.869269564
469	1.868714954
470	1.866409585
471	1.864311512
472	1.862527267
473	1.859052405
474	1.85534152
475	1.853177991
476	1.852547518
477	1.849943978
478	1.847637055
479	1.846393031
480	1.842472298
481	1.838171731
482	1.83466856
483	1.830839686
484	1.827274315
485	1.824480823
486	1.822122547
487	1.816624175
488	1.816053257
489	1.815314846
490	1.811337166
491	1.808061328
492	1.805946314
493	1.803309962
494	1.801836049
495	1.798117926
496	1.794919641
497	1.793486623
498	1.792831261
499	1.790089554
500	1.786205276
501	1.784636359
502	1.781409587
503	1.779204889
504	1.774856448
505	1.770104303
506	1.765809153
507	1.762363647
508	1.759427916
509	1.758089904
510	1.756867657
511	1.75425114
512	1.752453917
513	1.748047509
514	1.744884715
515	1.74384911
516	1.739999686
517	1.739427358
518	1.737541748
519	1.733842627
520	1.72986988
521	1.725755169
522	1.725147731
523	1.722440036
524	1.718601453
525	1.716103249
526	1.715067437
527	1.712931496
528	1.710644136
529	1.7074966
530	1.70404583
531	1.701327043
532	1.698791037
533	1.694934345
534	1.693664252
535	1.691807069
536	1.690491807
537	1.687354396
538	1.686208072
539	1.684093449
540	1.680909721
541	1.679033562
542	1.677801869
543	1.674204568
544	1.671822308
545	1.668426324
546	1.667235672
547	1.666661106
548	1.663976341
549	1.661473093
550	1.657556846
551	1.654328745
552	1.653469018
553	1.652918399
554	1.652382784
555	1.65065871
556	1.647889761
557	1.644141332
558	1.642476999
559	1.637862002
560	1.635131021
561	1.634504996
562	1.631028337
563	1.628139089
564	1.627695729
565	1.625339627
566	1.624631428
567	1.621474521
568	1.61929422
569	1.617990538
570	1.614821974
571	1.612762229
572	1.610589249
573	1.607613121
574	1.604233099
575	1.602663014
576	1.599200736
577	1.595833124
578	1.593340104
579	1.589907872
580	1.588908743
581	1.586476988
582	1.585969128
583	1.583873105
584	1.579624808
585	1.577546484
586	1.577057502
587	1.575807374
588	1.57477927
589	1.572196474
590	1.569404156
591	1.565757461
592	1.565039539
593	1.564259851
594	1.563714622
595	1.562786745
596	1.56120598
597	1.558129426
598	1.554580268
599	1.552039521
600	1.550246386
601	1.546734584
602	1.54538972
603	1.544936071
604	1.54302624
605	1.539384719
606	1.538973609
607	1.53826777
608	1.537031038
609	1.53467068
610	1.531487802
611	1.529679408
612	1.52642879
613	1.524919732
614	1.52243609
615	1.518717928
616	1.518395307
617	1.515340839
618	1.514492238
619	1.511506826
620	1.509680831
621	1.506372453
622	1.50273367
623	1.500953173
624	1.497924202
625	1.49482322
626	1.492460527
627	1.48970597
628	1.48926745
629	1.486871007
630	1.484093593
631	1.482979067
632	1.480184431
633	1.477744471
634	1.476312274
635	1.474548887
636	1.47153378
637	1.468957893
638	1.467400691
639	1.465061845
640	1.46391241
641	1.463598346
642	1.460326841
643	1.457458267
644	1.455939461
645	1.453107043
646	1.451613732
647	1.451135816
648	1.448889786
649	1.448040609
650	1.446293803
651	1.444247991
652	1.443490702
653	1.441179607
654	1.437634934
655	1.4347831
656	1.43377992
657	1.432321588
658	1.429272055
659	1.427801454
660	1.426277605
661	1.425759613
662	1.423963537
663	1.420538547
664	1.417533206
665	1.41576116
666	1.412852286
667	1.410170056
668	1.408486383
669	1.405499844
670	1.402959354
671	1.402596646
672	1.401390335
673	1.399486463
674	1.399196218
675	1.396667397
676	1.395291724
677	1.394032352
678	1.391410184
679	1.388992683
680	1.388632123
681	1.385525013
682	1.385110929
683	1.383783675
684	1.38134298
685	1.38007638
686	1.379018167
687	1.377727408
688	1.375706847
689	1.372296441
690	1.369913713
691	1.368476337
692	1.366349252
693	1.365190715
694	1.362543704
695	1.361884948
696	1.360015328
697	1.358481771
698	1.355384858
699	1.35432954
700	1.354054863
701	1.353130349
702	1.350643927
703	1.349157992
704	1.346989133
705	1.344403335
706	1.341861949
707	1.341064646
708	1.340403912
709	1.338223412
710	1.336622564
711	1.335240762
712	1.332867877
713	1.330772589
714	1.330437919
715	1.32838387
716	1.327095087
717	1.326135569
718	1.323167358
719	1.321588102
720	1.320785599
721	1.319214012
722	1.317968086
723	1.31694362
724	1.316324915
725	1.315333663
726	1.313485748
727	1.31272386
728	1.309920112
729	1.307520665
730	1.305753438
731	1.305203116
732	1.303058328
733	1.301513285
734	1.300545049
735	1.297808388
736	1.295301201
737	1.292736295
738	1.291053087
739	1.288616803
740	1.286411073
741	1.285732805
742	1.284850795
743	1.282673736
744	1.281126788
745	1.279112769
746	1.277350846
747	1.276097189
748	1.273648262
749	1.271810416
750	1.270432607
751	1.269562934
752	1.267818681
753	1.267214036
754	1.265398141
755	1.263045911
756	1.26222209
757	1.260540233
758	1.259589148
759	1.258519847
760	1.256838876
761	1.254336
762	1.254005556
763	1.25288284
764	1.251176518
765	1.250627876
766	1.248299556
767	1.247858081
768	1.245254404
769	1.243146079
770	1.242626728
771	1.241286664
772	1.23944553
773	1.237237295
774	1.234959496
775	1.233587736
776	1.233102487
777	1.23286302
778	1.232132785
779	1.231062798
780	1.230760142
781	1.228312218
782	1.22650936
783	1.226185608
784	1.223664907
785	1.222346963
786	1.220705191
787	1.218412482
788	1.217587666
789	1.215918334
790	1.213954491
791	1.212799693
792	1.212094983
793	1.209477898
794	1.206926958
795	1.205480041
796	1.205119773
797	1.203553311
798	1.202455408
799	1.200513302
800	1.198340564
801	1.196734263
802	1.196220818
803	1.195085155
804	1.193411165
805	1.191581889
806	1.190403197
807	1.188217108
808	1.186049882
809	1.18564502
810	1.184780062
811	1.182411494
812	1.1801295
813	1.177877199
814	1.176073979
815	1.17389853
816	1.172368528
817	1.170514539
818	1.168944132
819	1.168403519
820	1.168138344
821	1.167809559
822	1.167187328
823	1.165228074
824	1.164867304
825	1.164360683
826	1.162916724
827	1.161850023
828	1.159665065
829	1.157854193
830	1.155975891
831	1.154769734
832	1.153895346
833	1.153383904
834	1.151581059
835	1.149665579
836	1.14946405
837	1.147828285
838	1.14559545
839	1.143711923
840	1.143289305
841	1.143095742
842	1.140906647
843	1.139263645
844	1.137201129
845	1.136365454
846	1.134393368
847	1.132446531
848	1.130920237
849	1.130214553
850	1.128079339
851	1.125989634
852	1.124603816
853	1.124133535
854	1.121570084
855	1.120011376
856	1.118591445
857	1.116685799
858	1.114607141
859	1.113601275
860	1.111967721
861	1.110216898
862	1.108980367
863	1.107718701
864	1.105977081
865	1.104854736
866	1.103762869
867	1.103362892
868	1.102883817
869	1.101557803
870	1.099791788
871	1.098852463
872	1.098170869
873	1.096130736
874	1.0959335
875	1.094487693
876	1.09373072
877	1.092153108
878	1.09164497
879	1.090381662
880	1.090132999
881	1.088453721
882	1.087123418
883	1.086139902
884	1.085831341
885	1.083890218
886	1.081837788
887	1.079784726
888	1.078599567
889	1.077532345
890	1.07567963
891	1.074060085
892	1.073178503
893	1.072073614
894	1.070648929
895	1.06948118
896	1.067683341
897	1.065884629
898	1.064184062
899	1.062806325
900	1.062328432
901	1.06106865
902	1.059237177
903	1.059036531
904	1.058159128
905	1.055914617
906	1.054171735
907	1.052448321
908	1.052317349
909	1.050562122
910	1.050193519
911	1.04865727
912	1.047074014
913	1.045435497
914	1.045186044
915	1.043101921
916	1.042339857
917	1.04178441
918	1.040336389
919	1.039911193
920	1.038480451
921	1.037034931
922	1.036537225
923	1.035378653
924	1.034705687
925	1.03283741
926	1.030542592
927	1.028402697
928	1.028174633
929	1.026703309
930	1.026282959
931	1.024868366
932	1.023914078
933	1.022802178
934	1.021689572
935	1.020221066
936	1.018542689
937	1.016666518
938	1.015445954
939	1.014398836
940	1.012815557
941	1.011385631
942	1.009742023
943	1.008016259
944	1.00709195
945	1.005911678
946	1.004206487
947	1.003249359
